"Arran Malt Madeira Wine Cask","8.67","0.43","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 18yo Marsala Finish","8.67","0.10","4","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Mortlach 16yo (F&F)","8.67","0.28","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sullivans Cove French Oak","8.67","0.27","8","$$$$$+","SingleMalt-like","ABC","C","Tasmania","Malt"
"BenRiach 12yo Matured in Sherry Wood","8.66","0.20","14","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Hazelburn 12yo (Springbank)","8.66","0.24","18","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Valkyrie","8.66","0.21","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Karuizawa Asama Vintages 1999-2000","8.66","0.43","9","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"Kilchoman Sherry Single Cask","8.66","0.54","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast Mano a Lámh","8.65","0.37","4","$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Balvenie 17yo Doublewood","8.64","0.31","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ledaig 18yo","8.64","0.72","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Swiss Highland Classic Single Malt","8.64","0.40","4","$$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Kavalan Sherry Oak","8.63","0.33","6","$$$$$","SingleMalt-like","ABC","B","Taiwan","Malt"
"Macallan 25yo Fine Oak","8.63","0.25","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Reflexion","8.63","0.32","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"AnCnoc 2000","8.62","0.19","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 21yo","8.62","0.30","16","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfiddich 21yo Gran Reserva","8.62","0.40","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 15yo Darkest","8.61","0.31","23","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 15yo","8.61","0.46","18","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (all batches)","8.61","0.47","13","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Ardbeg Galileo","8.60","0.58","17","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 16yo Triple Cask","8.60","0.24","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich 15yo Solera","8.60","0.25","26","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne Cask Strength (batch 4)","8.60","0.14","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Arran Malt Port Cask Finish","8.59","0.37","12","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 12yo","8.59","0.32","21","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Penderyn Portwood","8.59","0.35","5","$$$","SingleMalt-like","ABC","C","Wales","Malt"
"Spirit of Hven Sankt Claus","8.59","0.58","3","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Tomatin 14yo Portwood","8.59","0.35","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
